BILL_NUM,AUTHOR,PROTECTION,ISSUE_TYPE,STATUS
SB 8,"MIDDLETON, BETTENCOURT, BIRDWELL, CAMPBELL, CREIGHTON, FLORES, HAGENBUCH, HALL, HINOJOSA, HUFFMAN, HUGHES, KING, KOLKHORST, PAXTON, SPARKS",N,"EDUCATION, OTHER",LAW_PASSED
HB 127,HARRISON,N,"EDUCATION, FREE_SPEECH",DEFEATED
HB 120,HARRISON,N,EDUCATION,DEFEATED
HB 52,"SWANSON, BONNEN, LEACH, HARRIS, METCALF",N,"EDUCATION, OTHER",DEFEATED
HB 214,"ORR, METCALF, BONNEN, LEACH, HARRIS",N,"EDUCATION, OTHER",DEFEATED
HB 172,HARRISON,N,OTHER,INTRODUCED
HB 32,"SWANSON, METCALF, HARRIS, BONNEN, LEACH",N,"EDUCATION, OTHER",INTRODUCED
SB 7,"MIDDLETON, KOLKHORST",N,"EDUCATION, OTHER",ADVANCING
HB 171,HARRISON,N,EDUCATION,INTRODUCED
SB 12,CREIGHTON,N,"EDUCATION, OTHER",LAW_PASSED
HB 229,"TROXCLAIR, SWANSON, SLAWSON, HULL, LEACH",N,OTHER,LAW_PASSED
HB 18,"VANDEAVER, LAMBERT, KING, JOHNSON, ASHBY",N,HEALTHCARE,LAW_PASSED
SB 1188,KOLKHORST,N,OTHER,LAW_PASSED
SB 1999,HUGHES,N,"EDUCATION, OTHER",DEFEATED
SB 1073,HUGHES,N,OTHER,DEFEATED
SB 2920,"CAMPBELL, CREIGHTON",N,"EDUCATION, OTHER",DEFEATED
HB 4552,"GERDES, TEPPER, METCALF, HULL, SCHATZLINE",N,OTHER,DEFEATED
SB 689,HUGHES,N,OTHER,DEFEATED
HB 2354,SHAHEEN,N,EDUCATION,DEFEATED
HB 2969,"CAIN, VASUT, METCALF",N,OTHER,DEFEATED
SB 619,SPARKS,N,"HEALTHCARE, OTHER",DEFEATED
HB 437,SWANSON,N,OTHER,DEFEATED
